"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Funny]] fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens","[[Hilarious]] fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens",0.04783559590578079,0.9371739625930786,0,1,0,35,"Successful"
"[[I]] [[sent]] my scores to sophas and i had to do secondary [[application]] for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones","[[ich]] [[forwarded]] my scores to sophas and i had to do secondary [[requests]] for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones",3.6618126614484936e-05,0.0650082603096962,0,0,0,304,"Failed"
"We know someone who you know that fancies you. [[Call]] 09058097218 to find out who. POBox 6, LS15HB 150p","We know someone who you know that fancies you. [[Calling]] 09058097218 to find out who. POBox 6, LS15HB 150p",0.06421935558319092,0.5465244054794312,1,0,1,24,"Successful"
"[[Only]] if you [[promise]] your getting out as [[SOON]] as you can. And you'll text me in the morning to let me know you made it in ok.","[[Alone]] if you [[promised]] your getting out as [[SHORTLY]] as you can. And you'll text me in the morning to let me know you made it in ok.",0.003948167897760868,0.6316795349121094,0,1,0,98,"Successful"
"[[Congratulations]] [[ur]] [[awarded]] [[either]] å£[[500]] of CD gift [[vouchers]] & [[Free]] entry 2 our å£[[100]] weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16","[[Congrats]] [[whats]] [[afforded]] [[nor]] å£[[5]] [[00]] of CD gift [[vouche]] [[rs]] & [[Libre]] entry 2 our å£[[1]] [[00]] weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16",0.00019508600234985352,0.13509654998779297,1,1,1,123,"Failed"
"[[I'll]] text carlos and let you know, hang on","[[I'lⅼ]] text carlos and let you know, hang on",2.4355527784791775e-05,0.04598687216639519,0,0,0,13,"Failed"
"K.i [[did't]] see you.:)k:)where are you now?","K.i [[did]] '[[t]] see you.:)k:)where are you now?",2.056217272183858e-05,2.7865709853358567e-05,0,0,0,13,"Failed"
"No [[message]]..no [[responce]]..what happend?","No [[mail]]..no [[responϲe]]..what happend?",1.551208879391197e-05,1.8640062990016304e-05,0,0,0,21,"Failed"
"Get down in gandhipuram and [[walk]] to cross [[cut]] [[road]]. [[Right]] [[side]] &lt;#&[[gt]]; street road and turn at first right.","Get down in gandhipuram and [[boardwalk]] to cross [[chop]] [[raod]]. [[Ri]] [[ght]] [[s]] [[ide]] &lt;#&[[gto]]; street road and turn at first right.",2.126021900039632e-05,0.06027952954173088,0,0,0,73,"Failed"
"You flippin your [[shit]] yet?","You flippin your [[dammit]] yet?",3.29093418258708e-05,5.04009221913293e-05,0,0,0,10,"Failed"
"For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.","For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.",0.988325297832489,0.988325297832489,1,1,0,1,"Skipped"
