"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens","Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens",0.8870036602020264,0.8870036602020264,1,1,0,1,"Skipped"
"[[I]] [[sent]] my scores to sophas and i had to do [[secondary]] [[application]] for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones","[[ich]] [[forwarded]] my scores to sophas and i had to do [[secon]] [[dary]] [[requests]] for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones",0.0005557891563512385,0.004857857245951891,0,0,0,305,"Failed"
"We [[know]] someone who you [[know]] that fancies you. [[Call]] 09058097218 to find out who. POBox 6, LS15HB 150p","We [[knows]] someone who you [[realise]] that fancies you. [[Ca]] [[ll]] 09058097218 to find out who. POBox 6, LS15HB 150p",0.005893886089324951,0.5725854337215424,1,0,1,39,"Successful"
"Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.","Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.",0.7169234156608582,0.7169234156608582,1,1,0,1,"Skipped"
"[[Congratulations]] ur [[awarded]] either å£[[500]] of [[CD]] gift [[vouchers]] & [[Free]] [[entry]] [[2]] our å£[[100]] weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16","[[Congrats]] ur [[aawrded]] either å£[[50O]] of [[DISCS]] gift [[coupon]] & [[Extricate]] [[en]] [[try]] [[ᒿ]] our å£[[1]] [[00]] weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16",4.2319297790527344e-05,0.29565489292144775,1,1,1,159,"Failed"
"[[I'll]] text carlos and let you know, hang on","[[I'lⅼ]] text carlos and let you know, hang on",0.0020248843356966972,0.03037365898489952,0,0,0,13,"Failed"
"K.i [[did't]] see you.:)k:)where are you now?","K.i [[did]] '[[t]] see you.:)k:)where are you now?",0.011100499890744686,0.024587329477071762,0,0,0,12,"Failed"
"No message..no [[responce]]..what happend?","No message..no [[resopnce]]..what happend?",0.00041166512528434396,0.0008950453484430909,0,0,0,14,"Failed"
"[[Get]] down in gandhipuram and [[walk]] to cross cut [[road]]. [[Right]] side &lt;#&[[gt]]; street road and turn at first right.","[[Getting]] down in gandhipuram and [[boardwalk]] to cross cut [[roaԁ]]. [[Ri]] [[ght]] side &lt;#&[[gto]]; street road and turn at first right.",0.0002751006977632642,0.054198846220970154,0,0,0,64,"Failed"
"You flippin your [[shit]] yet?","You flippin your [[dammit]] yet?",0.006368094123899937,0.023353254422545433,0,0,0,10,"Failed"
"For real tho this sucks. [[I]] [[can't]] [[even]] cook my [[whole]] [[electricity]] is out. And I'm hungry.","For real tho this sucks. [[ich]] [[can'𝚝]] [[eveո]] cook my [[whoⅼe]] [[electric]] is out. And I'm hungry.",0.002041024621576071,0.1656443327665329,0,0,0,40,"Failed"
"[[Free]] [[tones]] Hope you enjoyed your [[new]] content. [[text]] stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk","[[Extricate]] [[tonеs]] Hope you enjoyed your [[n]] [[ew]] content. [[version]] stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk",8.738040924072266e-05,0.12422811985015869,1,1,1,52,"Failed"
"I'm [[wif]] him now [[buying]] tix [[lar]]...","I'm [[wth]] him now [[buys]] tix [[arh]]...",0.001083606737665832,0.014559614472091198,0,0,0,26,"Failed"
